Período;Região;Instituição;Localização Geográfica;Nº Episódios Cirúrgicos Ambulat com Procedimentos Ambulatorizáveis;Nº Episódios Cirúrgicos Ambulat e Intern com Proced Ambulatorizáveis;% Cir. Ambulatório (GDH) para Procedimentos Ambulatorizáveis
2021-04;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;730;814;89.7
2021-05;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;2609;2763;94.4
2021-05;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2021-05;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;0;0;
2021-05;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;1054;1139;92.5
2021-05;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;3221;3747;86.0
2021-05;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2021-06;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;3022;3211;94.1
2021-06;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;0;0;
2021-06;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;352;363;97.0
2021-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;2819;3138;89.8
2021-06;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2021-06;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;1089;1138;95.7
2021-06;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;1662;1907;87.2
2021-07;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;1501;1705;88.0
2021-07;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;2116;2532;83.6
2021-07;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2021-07;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;0;0;
2021-07;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;700;780;89.7
2021-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;2313;2533;91.3
2021-07;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.977235,-8.984506;4106;4562;90.0
2021-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;2049;2242;91.4
2021-07;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;2161;2161;100.0
2021-07;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;231;566;40.8
2021-08;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;28;435;6.4
2021-08;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;3410;3744;91.1
2021-08;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;4652;5469;85.1
2021-08;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;2185;2509;87.1
2021-09;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;1519;1742;87.2
2021-09;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;1148;1380;83.2
2021-09;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;2473;2960;83.5
2021-09;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2021-09;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;221;228;96.9
2021-09;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.977235,-8.984506;5300;5888;90.0
2021-09;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;680;943;72.1
2021-09;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;2763;3148;87.8
2021-09;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;231;566;40.8
2021-09;Região de Saúde Norte;Unidade Local de Saúde de Matosinhos, EPE;41.1794456,-8.6745115;2491;2845;87.6
2021-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;1208;1350;89.5
2021-10;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;1223;1463;83.6
2021-10;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;2519;3006;83.8
2021-10;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2021-10;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;1884;1987;94.8
2021-10;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;939;1038;90.5
2021-10;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;1790;2159;82.9
2021-10;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;0;0;
2021-10;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;2427;2802;86.6
2021-10;Região de Saúde LVT;Hospital de Vila Franca de Xira, EPE;38.977235,-8.984506;5808;6398;90.8
2021-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;2648;2923;90.6
2021-10;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;5844;7736;75.5
2021-10;Região de Saúde Norte;Hospital da Senhora da Oliveira, Guimarães, EPE;41.4387173,-8.3086907;2927;3335;87.8
2021-10;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;231;566;40.8
2021-10;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;2902;3328;87.2
2013-01;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;266;307;86.6
2013-01;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;25;81;30.9
2013-01;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;301;375;80.3
2013-01;Região de Saúde do Centro;Hospital José Luciano de Castro;40.4422767,-8.4438729;18;18;100.0
2013-01;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;187;259;72.2
2013-01;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;135;162;83.3
2013-01;Região de Saúde LVT;Hospital Distrital de Santarém, EPE;39.2410946,-8.6937515;139;183;76.0
2013-01;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;159;239;66.5
2013-01;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;217;302;71.9
2013-01;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2013-01;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;100;127;78.7
2013-02;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;406;522;77.8
2013-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;219;293;74.7
2013-02;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;144;216;66.7
2013-02;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;122;145;84.1
2013-02;Região de Saúde do Centro;Hospital José Luciano de Castro;40.4422767,-8.4438729;55;55;100.0
2013-02;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;138;193;71.5
2013-02;Região de Saúde LVT;Centro Hospitalar de Lisboa Ocidental, EPE;38.708454,-9.216985;397;533;74.5
2013-02;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;437;730;59.9
2013-02;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;0;0;
2013-02;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;572;898;63.7
2013-02;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;323;323;100.0
2013-02;Região de Saúde Norte;Centro Hospitalar Tâmega e Sousa, EPE;41.2494561,-8.264901;430;618;69.6
2013-02;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;2;57;3.5
2013-02;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;188;257;73.2
2013-03;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;71;195;36.4
2013-03;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;9;78;11.5
2013-03;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;185;278;66.5
2013-03;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;300;378;79.4
2013-03;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;247;439;56.3
2013-03;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;910;1233;73.8
2013-03;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;285;381;74.8
2013-04;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;2112;2824;74.8
2013-04;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;1435;1739;82.5
2013-04;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2013-04;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;234;234;100.0
2013-04;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;14;104;13.5
2013-04;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;400;502;79.7
2013-04;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;2271;2814;80.7
2013-04;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;882;1443;61.1
2013-04;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;540;805;67.1
2013-04;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;519;624;83.2
2013-04;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1103;1815;60.8
2013-04;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;2396;3145;76.2
2013-04;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;583;864;67.5
2013-04;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;1267;1742;72.7
2013-04;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2013-04;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;367;508;72.2
2013-05;Região de Saúde do Centro;Hospital José Luciano de Castro;40.4422767,-8.4438729;55;55;100.0
2013-05;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;15;122;12.3
2013-05;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;311;476;65.3
2013-05;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;554;848;65.3
2013-05;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1096;1815;60.4
2013-05;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;804;998;80.6
2013-05;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1082;1345;80.4
2013-05;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;2986;3925;76.1
2013-05;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;2556;3158;80.9
2013-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;239;428;55.8
2013-05;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;466;684;68.1
2013-06;Região de Saúde do Alentejo;Unidade Local de Saúde do Norte Alentejano, EPE;39.3003425,-7.4263845;276;496;55.6
2013-06;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2013-06;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;578;776;74.5
2013-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;3478;4240;82.0
2013-06;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;622;961;64.7
2013-06;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;0;0;
2013-06;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;71;160;44.4
2013-06;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;311;553;56.2
2013-06;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;2761;3490;79.1
2013-06;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;2640;3193;82.7
2013-06;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;538;726;74.1
2013-06;Região de Saúde Norte;Unidade Local de Saúde do Nordeste, EPE;41.8056532,-6.7888197;934;1289;72.5
2013-07;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;213;449;47.4
2013-07;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;696;935;74.4
2013-07;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;516;932;55.4
2013-07;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1480;2435;60.8
2013-07;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;863;1043;82.7
2013-07;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;1499;1797;83.4
2013-07;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1363;1726;79.0
2013-07;Região de Saúde Norte;Centro Hospitalar do Médio Ave, EPE;41.3423984,-8.4802503;1085;1606;67.6
2013-07;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;2384;3216;74.1
2013-07;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;3153;3968;79.5
2013-07;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;646;935;69.1
2013-07;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;2223;2746;81.0
2013-08;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;2302;3368;68.3
2013-08;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;1594;2165;73.6
2013-08;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;425;668;63.6
2013-08;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;723;1148;63.0
2013-08;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;1578;2625;60.1
2013-08;Região de Saúde LVT;Instituto Português Oncologia de Lisboa, EPE;38.7396768,-9.1634516;88;206;42.7
2013-08;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;3392;4268;79.5
2013-08;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;3524;4221;83.5
2013-09;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;714;903;79.1
2013-09;Região de Saúde do Centro;Hospital Dr. Francisco Zagalo;40.8571967,-8.6318023;528;602;87.7
2013-09;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;1701;2055;82.8
2013-09;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1825;3622;50.4
2013-09;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;1735;2152;80.6
2013-09;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;2720;3774;72.1
2013-09;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;450;826;54.5
2013-09;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;139;469;29.6
2013-09;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;4119;4887;84.3
2013-10;Região de Saúde do Alentejo;Unidade Local de Saúde do Litoral Alentejano, EPE;38.0162314,-8.6956768;813;1033;78.7
2013-10;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;2022;2593;78.0
2013-10;Região de Saúde do Centro;Centro Hospitalar Tondela-Viseu, EPE;40.516364,-8.0827433;3400;3970;85.6
2013-10;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;535;535;100.0
2013-10;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;940;1467;64.1
2013-10;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;1309;1593;82.2
2013-10;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;1999;2400;83.3
2013-10;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;2134;4147;51.5
2013-10;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;2016;2491;80.9
2013-10;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;3152;4296;73.4
2013-11;Região de Saúde do Algarve;Centro Hospitalar Universitário do Algarve, EPE;37.0238973,-7.9281554;2190;2819;77.7
2013-11;Região de Saúde do Centro;Centro Medicina de Reabilitação da Região Centro Rovisco Pais;40.297919,-8.7707806;0;0;
2013-11;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;5718;7065;80.9
2013-11;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;680;1305;52.1
2013-11;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;1705;2432;70.1
2013-11;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;2429;2906;83.6
2013-11;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;3596;4836;74.4
2013-11;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;599;1111;53.9
2013-11;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;4824;6019;80.1
2013-12;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;29;308;9.4
2013-12;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;1074;1467;73.2
2013-12;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;6076;7524;80.8
2013-12;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;769;1424;54.0
2013-12;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;0;0;
2013-12;Região de Saúde LVT;Hospital de Cascais, PPP;38.729006,-9.418267;1863;2201;84.6
2013-12;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;2353;2839;82.9
2013-12;Região de Saúde LVT;Hospital Garcia de Orta, EPE;38.6658713,-9.1822554;2545;3119;81.6
2013-12;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;5745;7843;73.3
2013-12;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;5215;6505;80.2
2014-01;Região de Saúde do Centro;Centro Hospitalar de Leiria, EPE;39.7414812,-8.7982706;399;524;76.1
2014-01;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;137;187;73.3
2014-01;Região de Saúde LVT;Centro Hospitalar Universitário de Lisboa Norte, EPE;38.7500861,-9.1616116;181;277;65.3
2014-01;Região de Saúde LVT;Centro Hospitalar Psiquiátrico de Lisboa;38.7569771,-9.1460705;0;0;
2014-01;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;573;732;78.3
2014-01;Região de Saúde Norte;Hospital Santa Maria Maior, EPE;41.5324234,-8.6171561;110;123;89.4
2014-01;Região de Saúde Norte;Instituto Português Oncologia do Porto, EPE;41.1785642,-8.6062881;89;104;85.6
2014-02;Região de Saúde do Alentejo;Hospital Espírito Santo de Évora, EPE;38.5684861,-7.9032848;456;575;79.3
2014-02;Região de Saúde do Centro;Centro Hospitalar Universitário Cova da Beira, EPE;40.2804158,-7.4922407;76;172;44.2
2014-02;Região de Saúde do Centro;Hospital Distrital da Figueira da Foz, EPE;40.117897,-8.8586755;226;302;74.8
2014-02;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;1042;1279;81.5
2014-02;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;222;341;65.1
2014-02;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;529;603;87.7
2014-02;Região de Saúde LVT;Instituto Gama Pinto;38.7218793,-9.144249;502;502;100.0
2014-02;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;433;550;78.7
2014-02;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;1220;1447;84.3
2014-02;Região de Saúde Norte;Centro Hospitalar Entre Douro e Vouga, EPE;40.9293884,-8.5458794;670;831;80.6
2014-02;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2014-03;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;378;437;86.5
2014-03;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;12;80;15.0
2014-03;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;449;600;74.8
2014-03;Região de Saúde LVT;Centro Hospitalar do Oeste;39.4054629,-9.1258493;319;483;66.0
2014-03;Região de Saúde LVT;Hospital de Loures, PPP;38.821455,-9.176296;835;961;86.9
2014-03;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;656;732;89.6
2014-03;Região de Saúde Norte;Centro Hospitalar Universitário de São João, EPE;41.1831056,-8.6010558;1646;2210;74.5
2014-03;Região de Saúde Norte;Centro Hospitalar do Alto Ave, EPE;41.4387173,-8.3086907;657;848;77.5
2014-03;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;1423;1657;85.9
2014-03;Região de Saúde Norte;Hospital de Magalhães Lemos, EPE;41.1764649,-8.6649823;0;0;
2014-04;Região de Saúde do Centro;Centro Hospitalar e Universitário de Coimbra, EPE;40.2191523,-8.4098211;2126;2781;76.4
2014-04;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;265;265;100.0
2014-04;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;489;644;75.9
2014-04;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;2366;2835;83.5
2014-04;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;1843;2148;85.8
2014-05;Região de Saúde do Alentejo;Unidade Local de Saúde do Baixo Alentejo, EPE;38.014123,-7.8721227;523;614;85.2
2014-05;Região de Saúde do Centro;Hospital Arcebispo João Crisóstomo;40.3470015,-8.5933462;318;318;100.0
2014-05;Região de Saúde do Centro;Instituto Português Oncologia de Coimbra, EPE;40.2162514,-8.4103814;19;139;13.7
2014-05;Região de Saúde do Centro;Unidade Local de Saúde da Guarda, EPE;40.5309916,-7.2734793;588;768;76.6
2014-05;Região de Saúde do Centro;Unidade Local de Saúde de Castelo Branco, EPE;39.8212263,-7.4981271;306;449;68.2
2014-05;Região de Saúde LVT;Centro Hospitalar Médio Tejo, EPE;39.478072,-8.5404429;836;1195;70.0
2014-05;Região de Saúde LVT;Hospital Professor Doutor Fernando Fonseca, EPE;38.7422257,-9.2264834;1409;2093;67.3
2014-05;Região de Saúde Norte;Centro Hospitalar Universitário do Porto, EPE;41.1472498,-8.6172617;2973;3587;82.9
2014-05;Região de Saúde Norte;Centro Hospitalar Póvoa de Varzim/Vila do Conde, EPE;41.3828711,-8.7589945;261;503;51.9
2014-05;Região de Saúde Norte;Centro Hospitalar Trás-os-Montes e Alto Douro, EPE;41.3031784,-7.7515252;1921;2184;88.0
2014-05;Região de Saúde Norte;Centro Hospitalar Vila Nova de Gaia/Espinho, EPE;41.1094138,-8.5972617;2398;2941;81.5
2014-05;Região de Saúde Norte;Hospital de Braga, PPP;41.56785,-8.398982;2453;2870;85.5
2014-05;Região de Saúde Norte;Unidade Local de Saúde do Alto Minho, EPE;41.7056054,-8.8252713;1301;1585;82.1
2014-06;Região de Saúde do Centro;Centro Hospitalar do Baixo Vouga, EPE;40.6362453,-8.6543716;1373;1716;80.0
2014-06;Região de Saúde LVT;Centro Hospitalar Barreiro/Montijo, EPE;38.6554005,-9.0592392;754;1001;75.3
2014-06;Região de Saúde LVT;Centro Hospitalar Universitário Lisboa Central, EPE;38.7166948,-9.1371248;2979;3667;81.2
2014-06;Região de Saúde LVT;Centro Hospitalar de Setúbal, EPE;38.5283754,-8.8818638;968;1227;78.9
2014-06;Região de Saúde LVT;Hospital de Vila Franca de Xira, PPP;38.977235,-8.984506;1379;1569;87.9
